iter	MultiClass
0	2.110282588
1	2.028587043
2	1.94452105
3	1.885032755
4	1.821022808
5	1.763888352
6	1.714696596
7	1.667383712
8	1.628428692
9	1.588867318
10	1.553419749
11	1.518443181
12	1.488643513
13	1.46173849
14	1.434349514
15	1.408356736
16	1.381814445
17	1.361052617
18	1.338493231
19	1.32023151
20	1.30080003
21	1.280701171
22	1.260589404
23	1.243190603
24	1.226167833
25	1.211933463
26	1.196619946
27	1.184143107
28	1.177290708
29	1.162627065
30	1.153336303
31	1.143513204
32	1.133538705
33	1.122892265
34	1.110425436
35	1.103064664
36	1.092397248
37	1.082852369
38	1.074578881
39	1.065071742
40	1.057180439
41	1.047135144
42	1.037438529
43	1.0276614
44	1.019565501
45	1.013492073
46	1.007936539
47	1.002280918
48	0.994102544
49	0.9881215716
50	0.9806991596
51	0.9728754399
52	0.9674898816
53	0.9612805809
54	0.956602625
55	0.9490732456
56	0.9427565219
57	0.9377275832
58	0.9327918274
59	0.9268203674
60	0.9241435617
61	0.9210509906
62	0.9173283146
63	0.9145991288
64	0.909302759
65	0.9037921403
66	0.8972272862
67	0.8923736569
68	0.8881411746
69	0.8861264424
70	0.8810184963
71	0.87565412
72	0.8698993007
73	0.8651401236
74	0.8603605827
75	0.8542445976
76	0.850348412
77	0.8458544167
78	0.8409583911
79	0.8383079643
80	0.8353672269
81	0.8318000075
82	0.8294549332
83	0.8266643839
84	0.8213847728
85	0.8199087755
86	0.8148583634
87	0.8112723481
88	0.8091104154
89	0.8066368894
90	0.8050110426
91	0.8017423331
92	0.8002461911
93	0.7987585676
94	0.7973546276
95	0.7948032407
96	0.7926599469
97	0.7918363416
98	0.7906448205
99	0.7884876094
100	0.78419623
101	0.783058769
102	0.7823013764
103	0.7789021485
104	0.7782723553
105	0.7779340708
106	0.7755036273
107	0.7752887972
108	0.7746924467
109	0.7736158757
110	0.7734618203
111	0.7729996189
112	0.7728705018
113	0.7717283042
114	0.7716026565
115	0.7707550436
116	0.7706118485
117	0.770494413
118	0.7703746717
119	0.7702624016
120	0.7700940209
121	0.7699623569
122	0.7698202871
123	0.7696392419
124	0.7695137055
125	0.7693913304
126	0.7691055144
127	0.768982782
128	0.768876017
129	0.7687628842
130	0.7686524488
131	0.7685452572
132	0.7684230044
133	0.7683021015
134	0.7682042784
135	0.7676613327
136	0.7675526651
137	0.7674542805
138	0.7673372535
139	0.7671431121
140	0.7670321703
141	0.7669142887
142	0.7667922024
143	0.766662493
144	0.7665445457
145	0.7664391113
146	0.766328332
147	0.76623152
148	0.7661225013
149	0.7659387028
150	0.7656721714
151	0.7654859586
152	0.7653693578
153	0.7652697192
154	0.7651494178
155	0.7650235175
156	0.7629861353
157	0.7628640259
158	0.7627466951
159	0.7626420173
160	0.7625235216
161	0.7624110262
162	0.7623121004
163	0.7621861523
164	0.7620812935
165	0.7619560272
166	0.7618429885
167	0.7617383905
168	0.7616192014
169	0.7615087352
170	0.7614081799
171	0.7593552255
172	0.7592589824
173	0.7591556925
174	0.7590504098
175	0.7589267929
176	0.7588184759
177	0.75869797
178	0.7585873626
179	0.7584625981
180	0.7556879591
181	0.7555272757
182	0.7521641233
183	0.7520274375
184	0.7512566024
185	0.7511528303
186	0.7510230951
187	0.7509275178
188	0.7507972388
189	0.7506840494
190	0.7505815278
191	0.7504651678
192	0.7503627036
193	0.7502517911
194	0.7501393246
195	0.7500229079
196	0.7498980054
197	0.7497788692
198	0.7496665363
199	0.74954803
200	0.7494394168
201	0.7493366813
202	0.7492329362
203	0.7491194368
204	0.7489469957
205	0.7488325277
206	0.7486991997
207	0.7485516376
208	0.7484348
209	0.7483259292
210	0.7482167221
211	0.7480695273
212	0.747958405
213	0.7478345498
214	0.747735255
215	0.7476107089
216	0.7474792213
217	0.7473558255
218	0.7441035361
219	0.7439724339
220	0.7438670681
221	0.7437728133
222	0.7436802377
223	0.7435177076
224	0.7434152894
225	0.7432731633
226	0.7431397928
227	0.7430245993
228	0.7429229645
229	0.7428219108
230	0.7427029057
231	0.7426058582
232	0.7424950737
233	0.7423867177
234	0.7422691855
235	0.7421722345
236	0.7420616863
237	0.7419478528
238	0.7418413005
239	0.7417212211
240	0.7416049892
241	0.741448889
242	0.7413425562
243	0.7412368099
244	0.7411299494
245	0.7410456466
246	0.7409303204
247	0.7408201858
248	0.740720543
249	0.7406302135
250	0.7401358934
251	0.7400174433
252	0.7380756787
253	0.7379738109
254	0.7378808669
255	0.7377752388
256	0.7376800505
257	0.7375629859
258	0.7374112466
259	0.7373098823
260	0.7372100198
261	0.7370449501
262	0.7369217694
263	0.7368145612
264	0.7367084419
265	0.7366077023
266	0.7365059855
267	0.7364065413
268	0.7362962464
269	0.7361830405
270	0.7360721131
271	0.7359515063
272	0.7358470581
273	0.7357471465
274	0.7356309065
275	0.7355126903
276	0.735396222
277	0.7352836195
278	0.7351277087
279	0.7350003739
280	0.7348920741
281	0.7347640869
282	0.7346787102
283	0.7342254419
284	0.7341168883
285	0.7340069304
286	0.7338939777
287	0.7337956693
288	0.7336967469
289	0.7335787245
290	0.7334817739
291	0.7333724552
292	0.7332661624
293	0.733170134
294	0.7330685318
295	0.7329613467
296	0.7328346419
297	0.7327154168
298	0.7326145578
299	0.7325080268
300	0.7324063886
301	0.7323074536
302	0.7322067771
303	0.732093262
304	0.7319989813
305	0.731893665
306	0.7317805611
307	0.7316627237
308	0.7315630407
309	0.7314536607
310	0.7313524567
311	0.7312586394
312	0.731144024
313	0.731043435
314	0.7309233331
315	0.7308222703
316	0.7307199151
317	0.7306152445
318	0.7305000197
319	0.7304082637
320	0.7303214936
321	0.7302007903
322	0.7300940514
323	0.7299906516
324	0.7298846765
325	0.7297732545
326	0.7296171201
327	0.7295140461
328	0.7293888215
329	0.7292313613
330	0.7291163636
331	0.7289916096
332	0.7288773137
333	0.7287817353
334	0.7286879566
335	0.7285819208
336	0.7284675198
337	0.7283763396
338	0.72826441
339	0.7281686526
340	0.7280773251
341	0.7279846648
342	0.7278993191
343	0.7278004347
344	0.7277038741
345	0.727604619
346	0.7274977455
347	0.7273938129
348	0.7272924008
349	0.7271938458
350	0.7271050679
351	0.7270146245
352	0.7269205496
353	0.7268231925
354	0.7267229235
355	0.7266032743
356	0.7264832265
357	0.7263613324
358	0.7262559018
359	0.7255473943
360	0.7253923573
361	0.7253081683
362	0.7251921809
363	0.7250820151
364	0.7249691765
365	0.7248674122
366	0.7247737594
367	0.7246789817
368	0.7245832131
369	0.7244841275
370	0.7243856278
371	0.7242953536
372	0.7241779721
373	0.7240535073
374	0.7239615984
375	0.7238694303
376	0.7237721538
377	0.7236646891
378	0.7235780583
379	0.7234741403
380	0.7233745253
381	0.7232769387
382	0.7231726125
383	0.7230734877
384	0.7229331426
385	0.7228400394
386	0.7227220113
387	0.7226211631
388	0.7224682261
389	0.7223477856
390	0.7222539926
391	0.7221636253
392	0.7220667156
393	0.7219565964
394	0.7218500957
395	0.7179955953
396	0.7179011348
397	0.7177907753
398	0.7176855148
399	0.7175702324
400	0.7174551939
401	0.7146546085
402	0.7145581738
403	0.7144596688
404	0.7143646618
405	0.7142716733
406	0.714175868
407	0.7140405794
408	0.7122738074
409	0.7121880152
410	0.7120956184
411	0.7119767249
412	0.7118735044
413	0.711768091
414	0.7116789902
415	0.7115851285
416	0.7114421384
417	0.7113468011
418	0.7112463577
419	0.7111379719
420	0.7110445092
421	0.7109354418
422	0.7108242121
423	0.7107235928
424	0.7106333517
425	0.7105298416
426	0.7104359161
427	0.7103425523
428	0.7102328446
429	0.7101321239
430	0.710026952
431	0.7099211832
432	0.7098227446
433	0.7097139679
434	0.7096239038
435	0.7095234598
436	0.7094214624
437	0.7093093408
438	0.709214082
439	0.7091154016
440	0.7090211024
441	0.7089433038
442	0.7088361058
443	0.7087286924
444	0.708623122
445	0.7085145602
446	0.7084229948
447	0.7083238086
448	0.7082089863
449	0.7080985253
450	0.7080037005
451	0.7079011228
452	0.7078013415
453	0.7076972928
454	0.707592468
455	0.7074894346
456	0.7073888207
457	0.7072837936
458	0.7071643473
459	0.7070705155
460	0.7069476411
461	0.7068538886
462	0.7067480447
463	0.7049086167
464	0.7048042574
465	0.7046903189
466	0.7046028788
467	0.7044981151
468	0.7044059795
469	0.7043024523
470	0.7042041244
471	0.7041083283
472	0.7040087148
473	0.7039161047
474	0.7037733968
475	0.7036720759
476	0.7009032618
477	0.7008047413
478	0.7007099971
479	0.7006118691
480	0.7005168757
481	0.7004244811
482	0.6981916946
483	0.6980901352
484	0.697989498
485	0.6978894468
486	0.6977987337
487	0.6977051763
488	0.6975963722
489	0.6974928198
490	0.6967552297
491	0.6966690316
492	0.6965734108
493	0.6964778419
494	0.6963875343
495	0.6962828113
496	0.6962011615
497	0.6961012853
498	0.6960036523
499	0.6958924057
500	0.6958001478
501	0.6956981321
502	0.6955911072
503	0.6955010046
504	0.695405768
505	0.6953032382
506	0.6952310068
507	0.6951455797
508	0.6950541372
509	0.6949733597
510	0.6948819138
511	0.6948016578
512	0.6945017733
513	0.6935530466
514	0.6934603968
515	0.6933603015
516	0.6932588728
517	0.6931596639
518	0.6930168486
519	0.6929140127
520	0.6928170619
521	0.6927220608
522	0.6925824593
523	0.6924981459
524	0.6924027216
525	0.6888999702
526	0.6888011981
527	0.6887041748
528	0.6886168784
529	0.6885118264
530	0.6883943402
531	0.6883082746
532	0.688219296
533	0.6881247112
534	0.6880312443
535	0.6879215272
536	0.6878324163
537	0.6877621068
538	0.6876545501
539	0.6875546155
540	0.6874655893
541	0.687365978
542	0.6872607158
543	0.6871783524
