,Gemeindekennziffer,Gemeindename,Gemeindecode,Status,PLZ des Gem.Amtes,weitere Postleitzahlen,Einwohner,Arbeitsstätten,Beschäftigte,Alter,Einkommen,Erbwerbstätige (15-64),Grundstückspreise,Anzahl an Ehepaaren,Anzahl der Kinder
0,10101,Eisenstadt,10101,SR,7000,,14895,0.1256797583081571,1.2444444444444445,43.81,48.398,0.4634441087613293,216.4,0.17495803961060757,1.56
1,10201,Rust,10201,SR,7071,,2000,0.1185,0.501,47.07,42.325,0.471,136.5,0.1995,1.51
2,10301,Breitenbrunn am Neusiedler See,10301,M,7091,,1883,0.10196494954859267,0.27615507169410514,49.14,50.78,0.4646840148698885,192.5,0.21879978757302176,1.53
3,10302,Donnerskirchen,10302,M,7082,,1841,0.10483432916892993,0.23411189570885388,46.65,44.289,0.47474198804997286,118.6,0.21292775665399238,1.49
4,10303,Großhöflein,10303,M,7051,,2122,0.08529688972667294,0.2879359095193214,44.11,47.262,0.49717247879359094,156.3,0.21442035815268615,1.55
5,10304,Hornstein,10304,M,7053,2491,3176,0.08312342569269521,0.40302267002518893,45.11,44.246,0.47197732997481107,149.6,0.2081234256926952,1.62
6,10305,Klingenbach,10305,,7013,,1223,0.06704824202780049,0.15044971381847916,45.64,42.442,0.46443172526574,73.5,0.20850367947669665,1.43
7,10306,Leithaprodersdorf,10306,,2443,,1217,0.09449465899753492,0.24322103533278555,42.29,42.871,0.5168447000821693,95.7,0.23089564502875926,1.68
8,10307,Mörbisch am See,10307,,7072,,2228,0.09919210053859964,0.25,47.84,39.711,0.4452423698384201,88.8,0.2333931777378815,1.53
9,10308,Müllendorf,10308,,7052,,1384,0.08164739884393063,0.6351156069364162,45.21,47.8,0.5195086705202312,123.8,0.23410404624277456,1.6
10,10309,Neufeld an der Leitha,10309,ST,2491,,3587,0.07053247839420128,0.2556453861165319,43.85,46.497,0.45664901031502647,178.0,0.1906885977139671,1.58
11,10310,Oggau am Neusiedler See,10310,M,7063,,1738,0.05811277330264672,0.15132336018411968,47.59,43.416,0.4482163406214039,252.4,0.23475258918296893,1.5
