Name;Einwohner;Arbeitsstätten;Beschäftigte;Alter;Einkommen;Erbwerbstätige (15-64);Grundstückspreise;Anzahl an Ehepaaren;Anzahl der Kinder
Gramais;41;7;12;48.74;37.624;19;68.4;11;1.5
Namlos;65;9;16;47.7;40.166;42;63.6;16;1.5
Tschanigraben;67;1;1;51.34;35.946;26;11.9;13;1.78
Kaisers;78;14;20;44.35;42.825;37;68.4;12;2
Hinterhornbach;94;12;20;44.53;33.719;46;68.4;19;1.62
Spiss;99;9;14;46.23;27.408;64;154.4;18;1.46
Pfafflar;105;15;22;47.88;40.814;57;63.6;18;1.75
Großhofen;106;18;50;41.51;41.186;54;125.3;20;1.67
Andlersdorf;127;17;35;46.88;44.263;69;132.3;34;1.79
Dünserberg;140;21;41;41.96;30.865;82;230.5;31;1.92
Bürg-Vöstenhof;162;20;41;47.07;35.651;84;66.5;36;1.57
Warth;171;129;185;45.63;41.903;757;43;368;1.69
Parbasdorf;173;31;55;40.31;43.326;90;125.3;38;1.85
St. Sigmund im Sellrain;179;21;28;44.28;38.708;101;197.8;38;1.57
Aderklaa;198;54;222;42.36;42.602;120;125.3;32;1.63
Schröcken;206;37;92;43.07;44.708;111;222.5;41;1.8
Untertilliach;223;30;45;44.38;34.136;115;45.3;32;1.86
Heugraben;227;16;27;48.89;41.165;102;13.9;42;1.59
Kleinmürbisch;229;9;14;50;36.108;110;11.9;60;1.45
Unterperfuss;230;26;179;53.56;38.539;92;324.2;33;1.54
Großmürbisch;235;20;35;51.89;44.029;113;11.9;50;1.43
Zöblen;240;27;51;47.6;37.429;118;108.1;55;1.55
Tweng;245;91;275;42.99;41.287;110;276.1;39;1.71
Vorderhornbach;257;19;43;45.9;44.442;132;63.6;49;1.37
Forchach;260;16;111;44.65;43.691;117;111.8;66;1.71
Schandorf;264;41;59;49.84;47.406;95;7.8;66;1.45
Fendels;275;17;51;39.55;38.360;139;121.4;53;1.77
Stallehr;276;18;49;41.97;67.387;155;160.6;66;1.81
Lorüns;286;24;81;43.02;45.682;133;160.6;62;1.77
Steinberg am Rofan;287;32;69;49.68;33.389;126;223;62;1.76
Badersdorf;288;31;70;48.38;36.810;125;7.8;65;1.57
Puchenstuben;296;40;133;46.62;36.972;120;17.6;52;1.56
Rutzenham;296;36;92;40.05;39.266;152;65.6;67;1.6
St. Johann im Walde;297;32;89;40.26;35.361;147;52.5;56;1.84
Raach am Hochgebirge;302;46;103;43.42;40.406;159;35.5;66;1.72
Jungholz;302;33;134;46.86;27.173;113;106.2;60;1.66
Breitenstein;304;30;155;50.32;45.684;151;69;72;1.49
Weißpriach;311;41;96;42.75;35.035;154;47.8;68;1.72
Mayrhof;318;27;42;38.03;38.780;196;23.3;69;1.78
Damüls;327;75;188;42.25;35.990;137;273.3;61;1.78
Glinzendorf;329;50;241;41.28;44.320;154;238.8;66;1.71
Inzenhof;330;22;37;46.44;37.303;141;11.9;74;1.53
Bildein;334;41;97;48.94;37.743;157;11.9;76;1.6
Lavant;339;33;215;38.08;38.271;185;71.1;64;1.65
Mörschwang;340;38;108;41.75;39.318;182;32.8;78;1.51
Blons;341;36;93;38.43;37.696;171;324.9;57;2.02
Göriach;348;36;67;42.5;40.315;186;78.9;83;1.76
Bärnkopf;350;35;71;46.3;34.825;170;15.7;79;1.7
Röns;350;34;83;41.81;45.073;183;275.6;83;1.72
St. Pankraz;352;40;109;42.9;36.873;192;44;78;1.71
Thomatal;352;27;78;42.08;39.003;160;41.6;67;2
Weingraben;355;28;63;47.84;38.433;154;20.1;85;1.55
Mannsdorf an der Donau;355;43;228;45.87;43.494;196;57.5;79;1.59
Altendorf;357;32;54;43.36;39.422;177;43;72;1.49
Hackerberg;364;28;73;46.1;38.025;186;14.1;69;1.58
Buchbach;368;16;23;46.88;50.395;154;66.5;79;1.55
Brandberg;368;39;96;39.49;34.190;169;155.3;73;2.04
Schwarzenbach an der Pielach;376;53;98;47.23;34.032;191;60.9;79;1.79
Obernberg am Brenner;378;41;76;42.76;39.751;198;101.4;76;1.76
Rohr im Burgenland;379;31;52;48.24;36.203;175;13.9;96;1.32
Mühlgraben;383;26;47;46.28;37.506;206;10.8;84;1.44
Faggen;383;20;49;38.42;38.717;183;206.7;80;1.8
Musau;384;20;42;45.96;39.634;179;121.5;95;1.52
Moschendorf;386;42;86;49.49;38.841;181;11.9;96;1.51
Holzgau;387;68;132;42.66;35.783;170;68.4;80;1.78
Schrattenbach;390;49;145;44.87;40.603;182;64.3;80;1.61
Hohentauern;391;59;104;50.62;39.383;187;86.7;83;1.48
Elmen;391;27;60;45.95;36.271;165;63.6;76;1.56
St. Corona am Wechsel;398;47;143;43.82;39.211;183;43;73;1.77
Pinswang;401;33;108;43.07;38.025;179;121.5;90;1.91
Düns;403;31;52;41.3;43.906;209;230.5;91;1.81
St. Gerold;406;40;97;39.61;39.512;200;159;77;2.09
Hörbich;408;50;86;40.5;32.734;240;15.6;81;1.86
St. Veit im Innkreis;412;21;31;42.39;39.126;221;33.3;94;1.74
Weißbach bei Lofer;412;42;157;41.88;32.949;201;162.1;89;1.77
Viktorsberg;415;26;37;42.12;42.853;213;319.4;93;1.66
Eichenberg;417;51;135;39.18;43.619;229;210.7;82;1.95
Prigglitz;423;47;128;47.44;46.235;226;66.5;97;1.6
St. Georgen am Fillmannsbach;430;47;233;40.97;38.521;243;50.7;90;1.66
Pusterwald;430;55;103;46.9;37.576;216;22;97;1.56
Sibratsgfäll;434;54;98;42.19;40.067;202;171.7;76;1.75
Gschnitz;436;43;79;43.02;37.801;225;101.4;88;1.7
Kaunerberg;437;31;52;39.46;34.401;197;121.4;96;1.78
Atzesberg;440;40;66;42.53;35.105;246;15.6;97;1.75
Neustift bei Güssing;446;39;91;53.63;36.518;189;11.9;99;1.43
Wildalpen;447;52;147;50.76;39.140;222;28.5;98;1.45
Rattenberg;448;84;352;41.9;38.094;216;341.1;65;1.64
Rohr im Gebirge;453;77;173;43.43;34.841;234;55.6;88;2
Schlaiten;453;33;59;43.72;34.974;254;52.5;98;1.75
Nesselwängle;456;56;180;43.74;39.100;216;111.8;96;1.68
Schattwald;456;51;141;40.86;35.495;231;108.1;93;1.74
Fontanella;457;52;149;38.3;36.452;215;159;94;2.27
Mariastein;458;37;113;38.19;45.645;217;254.4;81;1.86
Rauchwart;460;42;72;47.96;43.707;204;13.9;86;1.53
Untertauern;462;134;337;39.55;40.542;224;276.1;81;1.76
Lichtenau im Mühlkreis;470;33;68;44.14;36.922;272;26.3;118;1.69
Schnepfau;470;54;144;40.94;38.713;248;109.4;96;1.76
Hintersee;472;55;106;40.77;42.857;266;167;96;1.55
Gerlosberg;472;36;61;39.14;34.445;243;171;89;1.77
Haugschlag;475;50;115;47.21;34.535;205;22;106;1.72
Loretto;476;32;93;48.43;43.779;238;68.3;108;1.45
Wörterberg;479;33;59;44.7;42.699;233;14.1;93;1.63
Mitterbach am Erlaufsee;479;67;185;51.49;43.059;219;43;95;1.49
Oberschlierbach;484;48;110;41.19;39.097;237;75.8;104;1.78
Muhr;485;38;78;45.77;37.698;254;47.8;112;1.61
Stanzach;485;48;158;45.6;40.628;230;63.6;104;1.68
Falkenstein;488;52;119;46.96;40.545;217;20.2;107;1.73
Amlach;492;41;127;40.53;38.561;260;152.6;87;1.81
Waldkirchen an der Thaya;493;68;123;51.69;37.259;243;13.6;104;1.49
Geiersberg;499;40;93;44.75;37.339;258;36.1;107;1.67
Kauns;502;32;55;40.92;36.910;265;121.4;99;1.74
Gutenbrunn;506;44;128;48.39;40.256;232;15.7;110;1.66
Tobadill;508;22;67;43.56;35.381;256;161;126;1.74
Annaberg;510;92;260;49.33;36.311;228;43;105;1.59
St. Oswald bei Haslach;510;40;97;41.65;35.050;283;26.3;101;1.52
Radmer;511;24;65;53.07;38.822;227;28.5;130;1.4
Röhrenbach;513;84;140;46.63;36.958;266;13.5;125;1.67
Muggendorf;517;51;129;44.56;41.797;283;55.6;111;1.6
Möggers;524;50;129;40.1;43.495;321;210.7;106;1.84
Trattenbach;527;45;123;45.53;34.187;266;35.5;109;1.63
Vals;527;43;110;42.96;34.914;307;101.4;104;1.83
Heiterwang;531;40;84;44.1;38.976;258;139.3;102;1.53
Lessach;533;43;84;43.49;36.913;298;47.8;110;1.71
Ottenthal;537;50;95;47.15;37.246;275;20.2;124;1.74
Semmering;537;72;368;52.68;36.971;221;35.5;86;1.49
Redleiten;537;34;69;39.79;36.570;292;40.2;119;1.8
Ladis;539;95;220;41.36;37.051;229;203.9;100;1.72
Pötting;541;54;181;42.2;38.095;290;41.6;126;1.68
St. Georgen am Reith;544;58;105;44.04;37.866;270;40.3;123;1.75
Pitzenberg;546;34;79;41.18;40.372;289;65.6;125;1.68
Forstau;547;65;270;41.62;36.766;271;174.7;124;1.67
Wald am Schoberpaß;550;68;180;48.9;37.370;254;28.5;95;1.57
St. Georgen bei Obernberg am Inn;553;86;191;46.84;37.507;304;44.3;127;1.7
Unterstinkenbrunn;555;46;112;44.64;35.507;279;13.7;121;1.69
Rettenschöss;559;58;115;39.87;36.517;279;273.3;113;1.67
Bürserberg;561;58;157;43.23;42.900;288;251.1;111;1.65
Wippenham;564;37;126;42.47;39.349;310;27.6;126;1.63
Ottenschlag im Mühlkreis;564;41;70;40.35;38.054;273;56.7;121;1.74
St. Thomas;565;42;90;38.71;37.907;305;42.4;116;1.81
Schwarzenberg am Böhmerwald;571;47;94;47.48;37.110;273;20.2;120;1.74
Auberg;572;69;152;40.4;38.524;290;36.1;122;1.85
Stanz bei Landeck;576;41;124;41.79;41.337;301;312.4;128;1.69
Otterthal;578;42;120;42.8;38.319;319;35.5;126;1.71
Dorfstetten;579;62;159;40.02;31.294;327;31.1;135;1.86
Mailberg;580;55;161;47.62;36.565;254;12.5;108;1.58
Loich;581;72;186;44.35;34.782;314;35.9;128;1.68
Rohrberg;581;66;216;38.11;34.506;302;171;107;1.8
Lackendorf;582;39;113;47.01;39.045;292;19.5;128;1.55
Hirschbach;586;37;74;44.87;38.452;315;13.2;136;1.51
Viehhofen;590;71;159;42.19;37.271;298;377.9;125;1.59
Berwang;597;87;188;44.76;39.010;235;139.3;119;1.52
Grän;597;87;628;43.81;33.305;319;140.5;122;1.5
Niederwölz;602;41;207;42.96;36.501;291;48.6;124;1.55
Iselsberg-Stronach;605;56;117;43.49;37.006;301;121;107;1.62
Zell;606;42;68;46.13;41.469;268;32.1;117;1.78
Kaisersdorf;610;120;174;46.1;39.139;276;20.1;117;1.7
St. Radegund;610;47;125;43.39;36.748;307;73.2;139;1.58
Kaltenberg;610;65;144;41.58;35.634;341;25.2;137;1.96
Mils bei Imst;610;54;325;40.74;37.100;331;122.2;140;1.62
Buch;610;54;105;41.02;44.128;308;233.3;125;1.84
Schwarzau im Gebirge;612;76;229;46.16;34.795;318;35.5;116;1.74
Karres;612;36;96;42.02;38.284;348;174.9;140;1.62
Aichkirchen;613;54;474;38.57;43.053;308;55.5;120;1.83
Reingers;616;67;165;46.56;35.856;340;22;132;1.68
Kaunertal;616;75;329;41.37;34.298;311;121.4;135;1.75
Mönichkirchen;617;87;266;47.4;38.861;257;43;122;1.52
Vichtenstein;617;45;86;45.04;32.817;309;19.2;129;1.74
Gries im Sellrain;619;39;91;42.08;36.966;312;197.8;128;1.59
Übersaxen;619;32;66;41.96;44.984;343;375.6;132;1.82
Pühret;622;43;88;40.9;40.883;314;65.6;142;1.68
Potzneusiedl;623;47;154;44.95;40.197;267;109.2;114;1.44
Haigermoos;623;49;84;43.33;41.389;316;82.2;137;1.7
Weilbach;625;57;169;43.63;40.245;316;32.8;139;1.68
Thurn;625;57;99;43.98;41.464;322;130.4;139;1.72
Deutsch Jahrndorf;626;65;142;47.11;40.094;237;60.2;123;1.5
St. Kathrein am Hauenstein;627;66;139;44.64;35.920;321;26.2;129;1.63
Kirchschlag;628;90;186;45.47;35.522;347;15.3;136;1.69
Pilsbach;631;57;98;43.34;44.469;346;116.2;143;1.76
Biberwier;631;108;238;46.11;36.864;297;139.3;115;1.64
Sonntag;631;89;274;40.39;34.994;364;159;128;2.17
Feistritz an der Gail;632;61;255;44.62;41.208;302;48.4;116;1.6
Bach;634;71;117;43.58;37.765;292;68.4;127;1.64
Edlbach;635;85;217;44.57;41.569;327;122.5;143;1.71
St. Veit in Defereggen;636;44;101;44.19;33.542;286;52.5;126;1.93
