GKZ;CODE;TXT
10101;2;intermediate density area (towns, suburbs)
10201;3;thinly-populated area (rural area)
10301;3;thinly-populated area (rural area)
10302;3;thinly-populated area (rural area)
10303;2;intermediate density area (towns, suburbs)
10304;3;thinly-populated area (rural area)
10305;3;thinly-populated area (rural area)
10306;3;thinly-populated area (rural area)
10307;3;thinly-populated area (rural area)
10308;2;intermediate density area (towns, suburbs)
10309;2;intermediate density area (towns, suburbs)
10310;3;thinly-populated area (rural area)
10311;3;thinly-populated area (rural area)
10312;3;thinly-populated area (rural area)
10313;3;thinly-populated area (rural area)
10314;3;thinly-populated area (rural area)
10315;3;thinly-populated area (rural area)
10316;3;thinly-populated area (rural area)
10317;3;thinly-populated area (rural area)
10318;3;thinly-populated area (rural area)
10319;3;thinly-populated area (rural area)
10320;3;thinly-populated area (rural area)
10321;3;thinly-populated area (rural area)
10322;3;thinly-populated area (rural area)
10323;3;thinly-populated area (rural area)
10401;3;thinly-populated area (rural area)
10402;3;thinly-populated area (rural area)
10403;3;thinly-populated area (rural area)
10404;3;thinly-populated area (rural area)
10405;3;thinly-populated area (rural area)
10406;3;thinly-populated area (rural area)
10407;3;thinly-populated area (rural area)
10408;3;thinly-populated area (rural area)
10409;3;thinly-populated area (rural area)
10410;3;thinly-populated area (rural area)
10411;3;thinly-populated area (rural area)
10412;3;thinly-populated area (rural area)
10413;3;thinly-populated area (rural area)
10414;3;thinly-populated area (rural area)
10415;3;thinly-populated area (rural area)
10416;3;thinly-populated area (rural area)
10417;3;thinly-populated area (rural area)
10418;3;thinly-populated area (rural area)
10419;3;thinly-populated area (rural area)
10420;3;thinly-populated area (rural area)
10421;3;thinly-populated area (rural area)
10422;3;thinly-populated area (rural area)
10423;3;thinly-populated area (rural area)
10424;3;thinly-populated area (rural area)
10425;3;thinly-populated area (rural area)
10426;3;thinly-populated area (rural area)
10427;3;thinly-populated area (rural area)
10428;3;thinly-populated area (rural area)
10501;3;thinly-populated area (rural area)
10502;3;thinly-populated area (rural area)
10503;3;thinly-populated area (rural area)
10504;3;thinly-populated area (rural area)
10505;3;thinly-populated area (rural area)
10506;3;thinly-populated area (rural area)
10507;3;thinly-populated area (rural area)
10508;3;thinly-populated area (rural area)
10509;3;thinly-populated area (rural area)
10510;3;thinly-populated area (rural area)
10511;3;thinly-populated area (rural area)
10512;3;thinly-populated area (rural area)
10601;3;thinly-populated area (rural area)
10602;3;thinly-populated area (rural area)
10603;3;thinly-populated area (rural area)
10604;3;thinly-populated area (rural area)
10605;2;intermediate density area (towns, suburbs)
10606;2;intermediate density area (towns, suburbs)
10607;2;intermediate density area (towns, suburbs)
10608;2;intermediate density area (towns, suburbs)
10609;3;thinly-populated area (rural area)
10610;2;intermediate density area (towns, suburbs)
10611;3;thinly-populated area (rural area)
10612;3;thinly-populated area (rural area)
10613;3;thinly-populated area (rural area)
10614;3;thinly-populated area (rural area)
10615;3;thinly-populated area (rural area)
10616;2;intermediate density area (towns, suburbs)
10617;3;thinly-populated area (rural area)
10618;2;intermediate density area (towns, suburbs)
10619;3;thinly-populated area (rural area)
10701;3;thinly-populated area (rural area)
10702;3;thinly-populated area (rural area)
10703;3;thinly-populated area (rural area)
10704;3;thinly-populated area (rural area)
10705;3;thinly-populated area (rural area)
10706;3;thinly-populated area (rural area)
10707;3;thinly-populated area (rural area)
10708;3;thinly-populated area (rural area)
10709;3;thinly-populated area (rural area)
10710;3;thinly-populated area (rural area)
10711;3;thinly-populated area (rural area)
10712;3;thinly-populated area (rural area)
10713;2;intermediate density area (towns, suburbs)
10714;3;thinly-populated area (rural area)
10715;3;thinly-populated area (rural area)
10716;3;thinly-populated area (rural area)
10717;3;thinly-populated area (rural area)
10718;3;thinly-populated area (rural area)
10719;3;thinly-populated area (rural area)
10720;3;thinly-populated area (rural area)
10721;3;thinly-populated area (rural area)
10722;3;thinly-populated area (rural area)
10723;3;thinly-populated area (rural area)
10724;3;thinly-populated area (rural area)
10725;3;thinly-populated area (rural area)
10726;3;thinly-populated area (rural area)
10727;3;thinly-populated area (rural area)
10801;3;thinly-populated area (rural area)
10802;3;thinly-populated area (rural area)
10803;3;thinly-populated area (rural area)
10804;3;thinly-populated area (rural area)
10805;3;thinly-populated area (rural area)
10806;3;thinly-populated area (rural area)
10807;3;thinly-populated area (rural area)
10808;3;thinly-populated area (rural area)
10809;3;thinly-populated area (rural area)
10810;3;thinly-populated area (rural area)
10811;3;thinly-populated area (rural area)
10812;3;thinly-populated area (rural area)
10813;3;thinly-populated area (rural area)
10814;3;thinly-populated area (rural area)
10815;3;thinly-populated area (rural area)
10816;3;thinly-populated area (rural area)
10817;3;thinly-populated area (rural area)
10818;3;thinly-populated area (rural area)
10819;3;thinly-populated area (rural area)
10820;3;thinly-populated area (rural area)
10821;3;thinly-populated area (rural area)
10822;3;thinly-populated area (rural area)
10823;3;thinly-populated area (rural area)
10824;3;thinly-populated area (rural area)
10825;3;thinly-populated area (rural area)
10826;3;thinly-populated area (rural area)
10827;3;thinly-populated area (rural area)
10828;3;thinly-populated area (rural area)
10901;3;thinly-populated area (rural area)
10902;3;thinly-populated area (rural area)
10903;3;thinly-populated area (rural area)
10904;3;thinly-populated area (rural area)
10905;3;thinly-populated area (rural area)
10906;3;thinly-populated area (rural area)
10907;3;thinly-populated area (rural area)
10908;3;thinly-populated area (rural area)
10909;3;thinly-populated area (rural area)
10910;3;thinly-populated area (rural area)
10911;3;thinly-populated area (rural area)
10912;3;thinly-populated area (rural area)
10913;3;thinly-populated area (rural area)
10914;3;thinly-populated area (rural area)
10915;3;thinly-populated area (rural area)
10916;3;thinly-populated area (rural area)
10917;2;intermediate density area (towns, suburbs)
10918;2;intermediate density area (towns, suburbs)
10919;3;thinly-populated area (rural area)
10920;2;intermediate density area (towns, suburbs)
10921;3;thinly-populated area (rural area)
10922;3;thinly-populated area (rural area)
10923;3;thinly-populated area (rural area)
10924;3;thinly-populated area (rural area)
10925;3;thinly-populated area (rural area)
10926;3;thinly-populated area (rural area)
10927;3;thinly-populated area (rural area)
10928;3;thinly-populated area (rural area)
10929;3;thinly-populated area (rural area)
10930;3;thinly-populated area (rural area)
10931;3;thinly-populated area (rural area)
10932;3;thinly-populated area (rural area)
20101;1;densely populated area (cities/urban centres/urban areas)
20201;2;intermediate density area (towns, suburbs)
20302;3;thinly-populated area (rural area)
20305;3;thinly-populated area (rural area)
20306;3;thinly-populated area (rural area)
20307;3;thinly-populated area (rural area)
20316;3;thinly-populated area (rural area)
20320;3;thinly-populated area (rural area)
20321;3;thinly-populated area (rural area)
20402;3;thinly-populated area (rural area)
20403;3;thinly-populated area (rural area)
20405;3;thinly-populated area (rural area)
20409;3;thinly-populated area (rural area)
20412;3;thinly-populated area (rural area)
20414;3;thinly-populated area (rural area)
20415;3;thinly-populated area (rural area)
20416;3;thinly-populated area (rural area)
20417;3;thinly-populated area (rural area)
20418;3;thinly-populated area (rural area)
20419;3;thinly-populated area (rural area)
20421;3;thinly-populated area (rural area)
20424;3;thinly-populated area (rural area)
20425;3;thinly-populated area (rural area)
20428;3;thinly-populated area (rural area)
20432;3;thinly-populated area (rural area)
20435;3;thinly-populated area (rural area)
20441;3;thinly-populated area (rural area)
20442;3;thinly-populated area (rural area)
20501;3;thinly-populated area (rural area)
20502;3;thinly-populated area (rural area)
20503;3;thinly-populated area (rural area)
20504;3;thinly-populated area (rural area)
20505;3;thinly-populated area (rural area)
20506;3;thinly-populated area (rural area)
20508;3;thinly-populated area (rural area)
20509;3;thinly-populated area (rural area)
20511;3;thinly-populated area (rural area)
20512;3;thinly-populated area (rural area)
20513;3;thinly-populated area (rural area)
20515;3;thinly-populated area (rural area)
20518;3;thinly-populated area (rural area)
20519;3;thinly-populated area (rural area)
20520;3;thinly-populated area (rural area)
20523;3;thinly-populated area (rural area)
20527;2;intermediate density area (towns, suburbs)
20530;3;thinly-populated area (rural area)
20531;3;thinly-populated area (rural area)
20534;3;thinly-populated area (rural area)
20601;3;thinly-populated area (rural area)
20602;3;thinly-populated area (rural area)
20603;3;thinly-populated area (rural area)
20604;3;thinly-populated area (rural area)
20605;3;thinly-populated area (rural area)
20607;3;thinly-populated area (rural area)
20608;3;thinly-populated area (rural area)
20609;3;thinly-populated area (rural area)
20610;3;thinly-populated area (rural area)
20611;3;thinly-populated area (rural area)
20613;3;thinly-populated area (rural area)
20616;3;thinly-populated area (rural area)
20618;3;thinly-populated area (rural area)
20619;3;thinly-populated area (rural area)
20620;3;thinly-populated area (rural area)
20622;3;thinly-populated area (rural area)
20624;3;thinly-populated area (rural area)
20625;3;thinly-populated area (rural area)
20627;3;thinly-populated area (rural area)
20630;3;thinly-populated area (rural area)
20631;3;thinly-populated area (rural area)
20632;3;thinly-populated area (rural area)
20633;3;thinly-populated area (rural area)
20634;2;intermediate density area (towns, suburbs)
20635;2;intermediate density area (towns, suburbs)
20636;3;thinly-populated area (rural area)
20637;3;thinly-populated area (rural area)
